OTUID	TrophicMode
OTU7390	Symbiotroph
OTU74	Pathotroph
OTU7400	Symbiotroph
OTU7411	Symbiotroph
OTU7426	Symbiotroph
OTU7455	Symbiotroph
OTU7513	Saprotroph
OTU752	Symbiotroph
OTU758	Symbiotroph
OTU7583	Saprotroph-Symbiotroph
OTU7598	Symbiotroph
OTU763	Saprotroph
OTU7631	Symbiotroph
OTU7638	Symbiotroph
OTU7639	Symbiotroph
OTU764	Symbiotroph
OTU765	Pathotroph-Symbiotroph
OTU7657	Symbiotroph
OTU7701	Symbiotroph
OTU7736	Symbiotroph
OTU7746	Pathotroph
OTU7750	Symbiotroph
OTU7759	Symbiotroph
OTU776	Saprotroph
OTU777	Saprotroph
OTU78	Symbiotroph
OTU7803	Symbiotroph
OTU7809	Symbiotroph
OTU7828	Pathotroph
OTU787	Symbiotroph
OTU7880	Pathotroph
OTU79	Symbiotroph
OTU7902	Symbiotroph
OTU7918	Symbiotroph
OTU7919	Symbiotroph
OTU7937	Saprotroph
OTU7962	Symbiotroph
OTU798	Symbiotroph
OTU7980	Symbiotroph
OTU7990	Symbiotroph
OTU8038	Saprotroph
OTU804	Symbiotroph
OTU8043	Symbiotroph
OTU8044	Symbiotroph
OTU8056	Symbiotroph
OTU8060	Symbiotroph
OTU8111	Symbiotroph
OTU8115	Symbiotroph
OTU8143	Saprotroph
OTU8145	Saprotroph
OTU819	Symbiotroph
OTU820	Symbiotroph
OTU8228	Pathotroph
OTU8232	Symbiotroph
OTU829	Saprotroph
OTU8316	Pathotroph
OTU8346	Symbiotroph
OTU8350	Saprotroph
OTU8374	Pathotroph
OTU8396	Saprotroph
OTU84	Symbiotroph
OTU8463	Symbiotroph
OTU8476	Symbiotroph
OTU8492	Symbiotroph
OTU8498	Symbiotroph
OTU8500	Symbiotroph
OTU8503	Symbiotroph
OTU8506	Saprotroph
OTU8528	Symbiotroph
OTU8535	Symbiotroph
OTU8536	Symbiotroph
OTU8538	Symbiotroph
OTU855	Symbiotroph
OTU861	Symbiotroph
OTU8628	Symbiotroph
OTU8638	Symbiotroph
OTU8651	Symbiotroph
OTU869	Saprotroph
OTU871	Symbiotroph
OTU874	Symbiotroph
OTU875	Symbiotroph
OTU876	Symbiotroph
OTU8767	Symbiotroph
OTU8768	Symbiotroph
OTU8777	Symbiotroph
OTU8792	Symbiotroph
OTU88	Symbiotroph
OTU8852	Symbiotroph
OTU8865	Symbiotroph
OTU8932	Symbiotroph
OTU9004	Saprotroph
OTU9011	Symbiotroph
OTU9016	Saprotroph
OTU9044	Symbiotroph
OTU9074	Symbiotroph
OTU9094	Symbiotroph
OTU9099	Pathotroph
OTU9114	Saprotroph
OTU9129	Symbiotroph
OTU9179	Symbiotroph
OTU9188	Symbiotroph
OTU92	Symbiotroph
OTU9218	Symbiotroph
OTU9278	Symbiotroph
OTU9301	Pathotroph
OTU9308	Symbiotroph
OTU934	Symbiotroph
OTU9351	Symbiotroph
OTU94	Symbiotroph
OTU9408	Symbiotroph
OTU9414	Symbiotroph
OTU9479	Saprotroph
OTU9491	Symbiotroph
OTU95	Symbiotroph
OTU9520	Saprotroph
OTU9524	Symbiotroph
OTU953	Saprotroph-Symbiotroph
OTU9546	Pathotroph
OTU9747	Symbiotroph
OTU9754	Symbiotroph
OTU98	Symbiotroph
OTU9802	Pathotroph-Symbiotroph
OTU9856	Symbiotroph
OTU9884	Symbiotroph
OTU99	Symbiotroph
OTU9929	Symbiotroph
OTU9935	Symbiotroph
OTU9949	Symbiotroph
OTU9988	Symbiotroph
OTU1000	Saprotroph
OTU10024	Pathotroph-Symbiotroph
OTU10033	Pathotroph-Saprotroph-Symbiotroph
OTU1005	Saprotroph-Symbiotroph
OTU1006	Saprotroph
OTU10073	Saprotroph
OTU10098	Pathotroph-Saprotroph-Symbiotroph
OTU10116	Pathotroph-Saprotroph-Symbiotroph
OTU10167	Symbiotroph
OTU10178	Saprotroph-Symbiotroph
OTU1020	Saprotroph-Symbiotroph
OTU10241	Pathotroph-Saprotroph-Symbiotroph
OTU1025	Pathotroph-Saprotroph-Symbiotroph
OTU10262	Saprotroph
OTU10289	Saprotroph-Symbiotroph
OTU1031	Pathotroph-Saprotroph-Symbiotroph
OTU10340	Pathotroph-Symbiotroph
OTU10348	Pathotroph-Saprotroph-Symbiotroph
OTU10359	Saprotroph
OTU1036	Saprotroph
OTU10374	Saprotroph
OTU10397	Saprotroph-Symbiotroph
OTU104	Pathotroph-Saprotroph-Symbiotroph
OTU10464	Pathotroph-Saprotroph-Symbiotroph
OTU10473	Saprotroph-Symbiotroph
OTU10515	Pathotroph-Saprotroph-Symbiotroph
OTU10526	Pathotroph-Saprotroph-Symbiotroph
OTU1053	Symbiotroph
OTU10530	Pathotroph-Symbiotroph
OTU10534	Saprotroph
OTU1054	Saprotroph
OTU10547	Pathotroph-Saprotroph-Symbiotroph
OTU10564	Saprotroph
OTU10600	Saprotroph-Symbiotroph
OTU10654	Saprotroph
OTU10666	Saprotroph-Symbiotroph
OTU10673	Saprotroph-Symbiotroph
OTU1069	Saprotroph
OTU107	Saprotroph-Symbiotroph
OTU10704	Pathotroph-Saprotroph-Symbiotroph
OTU1073	Pathotroph-Saprotroph-Symbiotroph
OTU10730	Pathotroph-Saprotroph-Symbiotroph
OTU10764	Pathotroph-Symbiotroph
OTU10774	Saprotroph
OTU1083	Pathotroph-Saprotroph-Symbiotroph
OTU1084	Pathotroph-Saprotroph-Symbiotroph
OTU10960	Pathotroph-Symbiotroph
OTU1098	Saprotroph
OTU10997	Saprotroph
OTU10998	Symbiotroph
OTU110	Saprotroph
OTU11076	Pathotroph-Saprotroph-Symbiotroph
OTU11153	Saprotroph
OTU11158	Pathotroph-Symbiotroph
OTU11171	Saprotroph
OTU11174	Saprotroph-Symbiotroph
OTU11178	Pathotroph-Saprotroph-Symbiotroph
OTU11180	Saprotroph
OTU11185	Pathotroph-Saprotroph-Symbiotroph
OTU11191	Pathotroph-Saprotroph-Symbiotroph
OTU11204	Saprotroph
OTU11207	Saprotroph
OTU11297	Pathotroph-Symbiotroph
OTU11321	Saprotroph-Symbiotroph
OTU11326	Pathotroph-Saprotroph-Symbiotroph
OTU1136	Pathotroph-Saprotroph-Symbiotroph
OTU11382	Symbiotroph
